state_p,county_p,city_p,stats_date,listings,resolved,bad_apns,mapped_properties,out_of_scope,may_be_duplicates_of_already_mapped,may_have_matching_zillow_listings,may_have_matching_license,outstanding_disputes,apns_with_unit_numbers_need_review,remaining_job_stats_ts,offline_on_review,no_match_found_1,no_match_found_2,no_match_found_3_or_more,suggest_qa,randomly_qa,completion,never_worked_on_yet
AK,fairbanks_north_star,_,2025-08-12,3039,28,0,22,0,27.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.009213557091148404,3011.0
AK,kodiak_island,_,2025-08-12,480,12,0,3,1,0.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.025,467.0
AK,skagway,_,2025-08-12,66,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
AK,yakutat,_,2025-08-12,36,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
AL,baldwin,_,2025-08-12,62489,21327,418,6176,109,3900.0,31.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,1.0,0.0,0.3412920674038631,40635.0
AL,baldwin,city_of_gulf_shores,2025-08-12,27616,3156,369,889,81,740.0,3.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,1.0,0.0,0.0,0.0,0.11428157589803013,24009.0
AL,baldwin,city_of_orange_beach,2025-08-12,26830,21667,418,6198,126,3710.0,1.0,0.0,0.0,2.0,2025-08-12 08:04:41.504,32.0,798.0,8.0,0.0,0.0,13.0,0.8075661572866194,3781.0
AL,jefferson,city_of_irondale,2025-08-12,130,109,0,61,40,0.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,2.0,3.0,13.0,0.0,0.0,0.0,0.8384615384615385,0.0
AL,jefferson,city_of_leeds,2025-08-12,23,21,0,12,7,0.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.9130434782608695,0.0
AL,jefferson,city_of_vestavia_hills,2025-08-12,369,307,0,107,86,0.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,5.0,16.0,29.0,12.0,0.0,0.0,0.8319783197831978,0.0
AL,lee,city_of_auburn,2025-08-12,1610,1279,0,754,86,1.0,0.0,0.0,0.0,31.0,2025-08-12 08:04:41.504,41.0,96.0,73.0,110.0,0.0,1.0,0.7944099378881988,0.0
AL,mobile,town_of_dauphin_island,2025-08-12,3942,3636,0,879,2,112.0,0.0,0.0,0.0,11.0,2025-08-12 08:04:41.504,7.0,29.0,0.0,0.0,1.0,27.0,0.9223744292237442,268.0
AL,montgomery,city_of_montgomery,2025-08-12,2092,48,0,21,12,13.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,4.0,0.0,0.0,0.0,7.0,0.022944550669216062,2028.0
AUS,new_south_wales,byron,2025-08-12,12049,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12049.0
AUS,queensland,brisbane,2025-08-12,22653,7872,116,3736,301,2904.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,126.0,1083.0,481.0,71.0,0.0,0.0,0.3475036419017349,12603.0
AUS,south_australia,adelaide,2025-08-12,4707,2190,273,867,195,797.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,75.0,211.0,1.0,0.0,0.0,0.46526449968132566,1762.0
AUS,south_australia,charles_sturt,2025-08-12,2077,10,52,6,0,7.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.004814636494944632,2015.0
AUS,south_australia,marion,2025-08-12,1104,232,0,106,130,1.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,145.0,0.0,0.0,0.0,0.0,0.21014492753623187,597.0
AUS,south_australia,unley,2025-08-12,926,434,60,253,214,0.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,15.0,39.0,19.0,4.0,0.0,0.0,0.468682505399568,141.0
AUS,tasmania,hobart,2025-08-12,3951,2858,0,1027,195,14.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,3.0,271.0,0.0,0.0,0.0,0.0,0.7233611743862314,624.0
AZ,coconino,_,2025-08-12,7481,6655,0,2432,1270,0.0,0.0,1.0,1.0,32.0,2025-08-12 08:04:41.504,67.0,120.0,291.0,45.0,1.0,0.0,0.8895869536158267,0.0
AZ,coconino,city_of_flagstaff,2025-08-12,7013,6358,0,1976,1685,12.0,0.0,2.0,2.0,22.0,2025-08-12 08:04:41.504,136.0,445.0,3.0,0.0,0.0,0.0,0.9066020248110651,0.0
AZ,gila,_,2025-08-12,2020,1474,0,533,192,1.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,97.0,0.0,0.0,0.0,4.0,0.7297029702970297,257.0
AZ,la_paz,_,2025-08-12,943,600,0,178,89,13.0,4.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.6362672322375398,254.0
AZ,maricopa,_,2025-08-12,30494,27512,0,11132,2475,32.0,136.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,363.0,625.0,557.0,16.0,1.0,0.0,0.9022102708729586,0.0
AZ,maricopa,city_of_avondale,2025-08-12,2158,2000,0,811,77,0.0,4.0,0.0,0.0,5.0,2025-08-12 08:04:41.504,25.0,43.0,51.0,3.0,0.0,1.0,0.9267840593141798,0.0
AZ,maricopa,city_of_buckeye,2025-08-12,875,719,0,421,43,2.0,6.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,12.0,87.0,13.0,0.0,0.0,0.0,0.8217142857142857,1.0
AZ,maricopa,city_of_goodyear,2025-08-12,2686,2507,0,1120,212,2.0,4.0,1.0,0.0,8.0,2025-08-12 08:04:41.504,18.0,97.0,10.0,1.0,0.0,0.0,0.9333581533879375,0.0
AZ,maricopa,city_of_litchfield_park,2025-08-12,559,540,0,270,15,0.0,0.0,0.0,0.0,2.0,2025-08-12 08:04:41.504,2.0,1.0,7.0,5.0,0.0,0.0,0.9660107334525939,0.0
AZ,maricopa,city_of_mesa,2025-08-12,9049,4994,0,1794,346,55.0,266.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.5518841860979113,3709.0
AZ,maricopa,city_of_phoenix,2025-08-12,47864,40588,0,13570,4148,241.0,473.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,194.0,1586.0,337.0,11.0,1.0,0.0,0.8479859602206251,1000.0
